publish_datetime,publish_date,stock_code,company_name,title,pdf_url,has_xbrl,notes,language,sector,listed_exchange,xbrl_url
2026-01-30 15:30:00,2026-01-30,70680,Ｇ－ＦフォースＧ,（開示事項の経過）自己株式消却完了に関するお知らせ,https://www.release.tdnet.info/inbs/140120260130542908.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,70720,Ｇ－インテＭ,業績連動型株式報酬としての新株発行の払込完了に関するお知らせ,https://www.release.tdnet.info/inbs/140120260126538161.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,71500,島根銀行,2026年３月期第３四半期決算短信〔日本基準〕(連結),https://www.release.tdnet.info/inbs/140120260127539438.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260127539438.zip
2026-01-30 15:30:00,2026-01-30,71730,東京きらぼしＦＧ,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260129542156.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260129542156.zip
2026-01-30 15:30:00,2026-01-30,71750,今村証券,2026年３月期 第３四半期決算短信〔日本基準〕（非連結）,https://www.release.tdnet.info/inbs/140120260130542461.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260130542461.zip
2026-01-30 15:30:00,2026-01-30,71820,ゆうちょ銀行,2026年3月期第3四半期末の有価証券含み損に関するお知らせ,https://www.release.tdnet.info/inbs/140120260129541648.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,72180,田中精密,従業員持株会向け譲渡制限付株式インセンティブとしての自己株式の処分に関するお知らせ,https://www.release.tdnet.info/inbs/140120260130543168.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,72560,河西工,海外子会社の工場閉鎖決定に関するお知らせ,https://www.release.tdnet.info/inbs/140120260130542929.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,73580,ポピンズ,取締役の辞任に関するお知らせ,https://www.release.tdnet.info/inbs/140120260129541719.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,74200,佐鳥電機,MIRAINI（ミライニ）ホールディングス株式会社設立に関わる組織、役員、コーポレートロゴに関するお知らせ,https://www.release.tdnet.info/inbs/140120260130543485.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,74200,佐鳥電機,執行役員の異動に関するお知らせ,https://www.release.tdnet.info/inbs/140120260130543516.pdf,False,,japanese,,東,
2026-01-30 15:30:00,2026-01-30,74220,東邦レマック,2025年12月期　決算短信〔日本基準〕（非連結）,https://www.release.tdnet.info/inbs/140120260130542521.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260130542521.zip
2026-01-30 15:30:00,2026-01-30,74670,萩原電気ＨＤ,MIRAINI（ミライニ）ホールディングス株式会社設立に関わる組織、役員、コーポレートロゴに関するお知らせ,https://www.release.tdnet.info/inbs/140120260129542345.pdf,False,,japanese,,東名,
